Name,Price,Link
Mushroom Pulav,80.00
Cashewnut Pulav,90.00
Jeera Rice,75.00
Chilly Parotta,65.00
Veg Kothu Parotta,70.00
Paneer Kothu Parotta,85.00
Tawa Kothu Parotta,75.00
Naan With PBM,120.00
Naan With Paneer Chetinad,140.00
Naan With Paneer Tikka Masala,160.00
Naan With Alu Kofta,160.00
Naan With Vegball Manchurian,140.00
Roti With PBM,115.00
Pulka With PBM (4 PCS),115.00
Roti With Paneer Tikka Masala,160.00
Roti With Paneer Chetinad,140.00
Roti With Alu Kofta,160.00
Veg Fried Rice,65.00
Gobi Fried Rice,75.00
Paneer Fried Rice,75.00
Schezwan Fried Rice,80.00
Schezwan Gobi Fried Rice,80.00
Schezwan Paneer Rice,80.00
Schezwan Mushroom Rice,80.00
Cashewnut Rice,85.00
Schezwan Cashewnut Rice,90.00
Schezwan Babycorn Fried Rice,80.00
Babycorn Fried Rice,75.00
Chilly Garlic Fried Rice,75.00
Capcicum Fried Rice,75.00
Ghee Dhal Rice,65.00
Dry Gobi,70.00
Gobi 65,60.00
Paneer 65,70.00
Babycorn 65,65.00
Paneer Pepper Fry,85.00
Mushroom Pepper Fry,80.00
Mushroom 65,70.00
Mushroom Dry,80.00
Veg Ball Manchurian Dry,100.00
Paneer Bhurji,85.00
Babycorn Pepper Fry,90.00
Babycorn Chilli Dry,80.00
Paneer Chetinad Dry,90.00
Gobi Chetinad Dry,90.00
Mushroom Chetinad Dry,90.00
Chilli Paneer Dry,90.00
Paneer Tikka Dry,90.00
Crispy Paneer,90.00
Panner Sticks,90.00
Veg Cheese Sandwich,60.00
Mushroom Sandwich,60.00
Onion Cheese Sandwich,60.00
Paneer Cheese Sandwich,60.00
Chilli Cheese Sandwich,60.00
KC Spl Sandwich,70.00
Babycorn Sandwich,65.00
Veg/Plain Sandwich,45.00
Arabian Sandwich,80.00
Veg Pizza,85.00
Paneer Pizza,90.00
Mushroom Pizza,90.00
Chilly Cheese Pizza,90.00
Onion Cheesepizza,90.00
Babycorn Pizza,90.00
Paneer Tikka Pizza,110.00
Channa Masala,55.00
Masala Pori,55.00
Bhel Poori,40.00
Sev Poori,55.00
Papadi Chat,55.00
Pani Poori,40.00
Dahi Papadi,55.00
Dahi Samosa,55.00
Dahi Poori,55.00
Samosa Channa,55.00
Fried Alu Chat,55.00
Mixed Chat,60.00
Bombay Chat,60.00
Pav Bhajji,65.00
Fried Pav Bhajji,75.00
Cheese Pav Bhajji,85.00
Paneer Pav Bhajji,85.00
Veg Maggie,40.00
Cheese Maggie,60.00
Cheese Corn Maggie,60.00
Mac & Cheese Maggie,60.00
Schezwan Maggie,60.00
Pink Blush Maggie,60.00
Paneer Maggie,60.00
Mushroom Maggie,60.00
Cheese Pasta,75.00
Veg Pasta,70.00
Chilli Cheese Pasta,75.00
Sweetcorn Pasta,75.00
Mushroom Pasta,75.00
Paneer Hotdog,70.00
Mushroom Hotdog,70.00
Babycorn Hotdog,70.00
Veg Hotdog,65.00
Lemon Juice,20.00
Butter Milk,20.00
Grape Juice,50.00
Pineapple Juice,40.00
Water Melon,35.00
Badham Milk,35.00
Rose Milk,35.00
Mousambi,55.00
Apple Juice,60.00
Fruit Mix,35.00
Pomegranate,60.00
Orange,60.00
Lassi,45.00
Sarbath,25.00
Milk Sarbath,40.00
Carrot Juice,70.00
Choco Milk,45.00
Blueberry Milk,50.00
Mango Milk,50.00
Arabian Grape,50.00
Arabian Litchi,50.00
Sugarcane Juice,25.00
Mango,50.00
Musk Melon,35.00
Mint ginger Lemon,30.00
Two in One Icecream,75.00
Three In One Icecream,100.00
Nutcorner,125.00
Cocktall,125.00
Chocolate Proline,125.00
Falooda,125.00
Fruit Salad With Icecreams,120.00
Vanilla Milkshake,65.00
